InputName,InputM,InputN,InputRk,TargetRk,Opt_delta,Our_delta,Delta_diff,Svd_time,Our_time,Time_gain,Our_Iter
rnd_1_1_1,20,20,20,2,0.823654123355667,0.823655314067727,1.19071205983978e-06,0.0004195,0.009085,-0.0086655,30
rnd_1_1_2,20,20,20,5,0.630825890621291,0.63082905681652,3.16619522866546e-06,0.0004195,0.0128435,-0.012424,46
rnd_1_1_3,20,20,20,9,0.451079476834738,0.451082609116085,3.13228134740662e-06,0.0004195,0.0316261,-0.0312066,69
rnd_1_1_4,20,20,20,12,0.325548699313017,0.325549304235594,6.04922576585842e-07,0.0004195,0.0170362,-0.0166167,36
rnd_1_1_5,20,20,20,16,0.168542159922419,0.168544793803303,2.63388088386773e-06,0.0004195,0.118891,-0.1184715,234
rnd_1_1_6,20,20,20,19,0.0103529072858107,0.0103529073749058,8.90951132315188e-11,0.0004195,0.0048264,-0.0044069,7
rnd_1_2_1,20,20,20,2,0.876490745654681,0.876680354568924,0.000189608914243578,0.000163,0.0184072,-0.0182442,79
rnd_1_2_2,20,20,20,5,0.672954898318832,0.67295644905973,1.55074089802643e-06,0.000163,0.010028,-0.009865,31
rnd_1_2_3,20,20,20,9,0.476948850546976,0.47695467641581,5.82586883435265e-06,0.000163,0.0422064,-0.0420434,125
rnd_1_2_4,20,20,20,12,0.346398054372331,0.346420948198574,2.28938262425427e-05,0.000163,0.1251181,-0.1249551,319
rnd_1_2_5,20,20,20,16,0.139998893631855,0.139999044151435,1.50519579772412e-07,0.000163,0.0123663,-0.0122033,25
rnd_1_2_6,20,20,20,19,0.0178747565466506,0.0178747582918614,1.74521078491474e-09,0.000163,0.0072194,-0.0070564,12
rnd_1_3_1,20,20,20,2,0.889004256154644,0.889122026326065,0.000117770171421006,0.0001286,0.0316415,-0.0315129,156
rnd_1_3_2,20,20,20,5,0.715379686834551,0.715385483910621,5.79707607017976e-06,0.0001286,0.0239237,-0.0237951,83
rnd_1_3_3,20,20,20,9,0.463375252221033,0.463376202208588,9.49987554454967e-07,0.0001286,0.011629,-0.0115004,32
rnd_1_3_4,20,20,20,12,0.286477074775575,0.286477788152681,7.13377106054125e-07,0.0001286,0.0187688,-0.0186402,46
rnd_1_3_5,20,20,20,16,0.096795124353797,0.0967954984734134,3.74119616383672e-07,0.0001286,0.0243077,-0.0241791,47
rnd_1_3_6,20,20,20,19,0.00954624194789996,0.00954624471155824,2.76365828139058e-09,0.0001286,0.0088449,-0.0087163,14
rnd_1_4_1,20,20,20,2,0.830721029543571,0.83072350301794,2.47347436910239e-06,0.0001291,0.0103646,-0.0102355,38
rnd_1_4_2,20,20,20,5,0.612170216333438,0.612171467686476,1.2513530377456e-06,0.0001291,0.0094844,-0.0093553,33
rnd_1_4_3,20,20,20,9,0.395086145479397,0.395094702100603,8.55662120602396e-06,0.0001291,0.0449299,-0.0448008,129
rnd_1_4_4,20,20,20,12,0.238990133769469,0.238990460633513,3.26864043748154e-07,0.0001291,0.014308,-0.0141789,35
rnd_1_4_5,20,20,20,16,0.08637756257663,0.0863775948488446,3.22722145812415e-08,0.0001291,0.0072296,-0.0071005,13
rnd_1_4_6,20,20,20,19,0.0219296766906119,0.0219296782950757,1.60446384997459e-09,0.0001291,0.0087097,-0.0085806,14
rnd_1_5_1,20,20,20,2,0.878557597815568,0.878582024117026,2.44263014586021e-05,0.0004337,0.0542963,-0.0538626,259
rnd_1_5_2,20,20,20,5,0.672918106551898,0.672922887152578,4.78060068043185e-06,0.0004337,0.0351338,-0.0347001,135
rnd_1_5_3,20,20,20,9,0.38077110933453,0.380772741380056,1.63204552622309e-06,0.0004337,0.0242225,-0.0237888,56
rnd_1_5_4,20,20,20,12,0.170154691326433,0.170154742057017,5.07305842334382e-08,0.0004337,0.0080383,-0.0076046,16
rnd_1_5_5,20,20,20,16,0.0413868516397268,0.0413868587674026,7.12767579680307e-09,0.0004337,0.0087156,-0.0082819,13
rnd_1_5_6,20,20,20,19,0.000798896086878337,0.000798896086883212,4.87457296749483e-15,0.0004337,0.0046535,-0.0042198,6
rnd_2_1_1,40,40,40,2,0.934718285612781,0.934724976135156,6.69052237545209e-06,0.0002597,0.0319118,-0.0316521,71
rnd_2_1_2,40,40,40,9,0.717179171975944,0.717196160332025,1.69883560811046e-05,0.0002597,0.1010006,-0.1007409,152
rnd_2_1_3,40,40,40,17,0.417336788615872,0.417338635599616,1.84698374433578e-06,0.0002597,0.0414681,-0.0412084,51
