InputName,InputM,InputN,InputRk,TargetRk,Opt_delta,Our_delta,Delta_diff,Svd_time,Our_time,Time_gain,Our_Iter
rnd_1_1_1,256,256,256,16,0.89512255307194,0.895307434592267,0.000184881520326918,0.0106642,2.2866563,-2.2759921,154
rnd_1_2_1,256,256,256,16,0.917999873120024,0.91807956668575,7.96935657264575e-05,0.0110175,1.9512929,-1.9402754,145
rnd_1_3_1,256,256,256,16,0.900192727607012,0.900235232889252,4.25052822399241e-05,0.0139537,1.9997037,-1.98575,150
rnd_2_1_1,512,128,128,16,0.831211073679769,0.831237634583901,2.65609041320003e-05,0.0099405,4.4348152,-4.4248747,130
rnd_2_2_1,512,128,128,16,0.806558265073132,0.806646653858538,8.83887854052912e-05,0.0054139,6.0000799,-5.994666,172
rnd_2_3_1,512,128,128,16,0.821860673527523,0.821881566364572,2.08928370488692e-05,0.007415,4.5775371,-4.5701221,135
rnd_3_1_1,1024,64,64,16,0.68077903510607,0.680806194610234,2.71595041636541e-05,0.0395838,29.542643,-29.5030592,235
rnd_3_2_1,1024,64,64,16,0.600028819683457,0.600031375286023,2.55560256623433e-06,0.0335296,11.0773214,-11.0437918,86
rnd_3_3_1,1024,64,64,16,0.643895800790208,0.643910365453832,1.45646636242613e-05,0.0334938,20.179618,-20.1461242,157
rnd_4_1_1,2048,32,32,16,0.345059408763278,0.345065240972793,5.83220951494434e-06,0.1310165,56.6393329,-56.5083164,113
rnd_4_2_1,2048,32,32,16,0.463331486522837,0.463338568564537,7.0820416999684e-06,0.1346971,72.4521193,-72.3174222,137
rnd_4_3_1,2048,32,32,16,0.352041119903709,0.352043874219483,2.75431577489993e-06,0.1367871,32.4716362,-32.3348491,61
