InputName,InputM,InputN,InputRk,TargetRk,Opt_delta,Our_delta,Delta_diff,Svd_time,Our_time,Time_gain,Our_Iter
srnd_1_1_1,10,10,8,2,0.534849564025981,0.731188086491125,0.196338522465144,0.000139967,0.0138011,-0.013661133,25
srnd_1_1_2,10,10,8,3,0.416315408477841,0.731188086491125,0.314872678013284,0.000139967,0.0070841,-0.006944133,25
srnd_1_1_3,10,10,8,4,0.325628354494229,0.534849881594648,0.209221527100419,0.000139967,0.0051971,-0.005057133,20
srnd_1_1_4,10,10,8,5,0.253975871065699,0.416315970345724,0.162340099280025,0.000139967,0.0040235,-0.003883533,21
srnd_1_1_5,10,10,8,6,0.159035281130525,0.325628744077685,0.16659346294716,0.000139967,0.0073481,-0.007208133,44
srnd_1_1_6,10,10,8,7,0.0448720726158771,0.25397673631892,0.209104663703043,0.000139967,0.0060641,-0.005924133,29
srnd_1_2_1,10,10,9,2,0.500587831199989,0.500587980533577,1.49333588050915e-07,9.2098e-05,0.00308,-0.002987902,18
srnd_1_2_2,10,10,9,3,0.360460777389324,0.360460907729436,1.30340111870186e-07,9.2098e-05,0.0028797,-0.002787602,16
srnd_1_2_3,10,10,9,4,0.269602335480811,0.269603232765207,8.9728439561787e-07,9.2098e-05,0.0108884,-0.010796302,69
srnd_1_2_4,10,10,9,6,0.116260243512801,0.120977215060098,0.00471697154729678,9.2098e-05,0.0022083,-0.002116202,8
srnd_1_2_5,10,10,9,7,0.032960842365136,0.116410800752753,0.0834499583876175,9.2098e-05,0.0013076,-0.001215502,4
srnd_1_2_6,10,10,9,8,0.00155095697418638,0.00155095697419572,9.34257012030759e-15,9.2098e-05,0.0022362,-0.002144102,6
srnd_1_3_1,10,10,9,2,0.595228854148839,0.595229593481763,7.39332923327396e-07,0.00013411,0.0050086,-0.00487449,35
srnd_1_3_2,10,10,9,3,0.420398793465746,0.420399148571934,3.55106188620891e-07,0.00013411,0.0044124,-0.00427829,24
srnd_1_3_3,10,10,9,4,0.272739557878143,0.420399148571934,0.147659590693791,0.00013411,0.005859,-0.00572489,24
srnd_1_3_4,10,10,9,6,0.0811780556275487,0.115852916753452,0.0346748611259029,0.00013411,0.0022914,-0.00215729,11
srnd_1_3_5,10,10,9,7,0.0394302657189392,0.0811782543508227,0.0417479886318834,0.00013411,0.0094408,-0.00930669,48
srnd_1_3_6,10,10,9,8,0.0234368488294069,0.0394302680326606,0.0159934192032537,0.00013411,0.0020974,-0.00196329,8
srnd_2_1_1,20,20,20,2,0.769148892938669,0.769150210328669,1.31738999975539e-06,0.000205111,0.004368,-0.004162889,22
srnd_2_1_2,20,20,20,5,0.567244250420616,0.567247114208438,2.86378782199392e-06,0.000205111,0.0305947,-0.030389589,122
srnd_2_1_3,20,20,20,9,0.340947851418519,0.34094974859277,1.89717425108649e-06,0.000205111,0.0398653,-0.039660189,64
srnd_2_1_4,20,20,20,12,0.199460085865489,0.199460360112333,2.74246844067516e-07,0.000205111,0.0123329,-0.012127789,24
srnd_2_1_5,20,20,20,16,0.0556971597351248,0.0556972347630112,7.50278863689835e-08,0.000205111,0.0215269,-0.021321789,38
srnd_2_1_6,20,20,20,19,0.00756611504156659,0.00756611681225912,1.77069252836615e-09,0.000205111,0.0090324,-0.008827289,16
srnd_2_2_1,20,20,20,2,0.742213720767849,0.742216671346984,2.95057913479724e-06,0.000603523,0.0086383,-0.008034777,44
srnd_2_2_2,20,20,20,5,0.517679532138548,0.517682701229149,3.16909060038562e-06,0.000603523,0.0090894,-0.008485877,34
srnd_2_2_3,20,20,20,9,0.287563430558839,0.287563570883271,1.40324431963101e-07,0.000603523,0.0071304,-0.006526877,19
srnd_2_2_4,20,20,20,12,0.17356481437138,0.173564997693184,1.83321803987058e-07,0.000603523,0.0091044,-0.008500877,20
srnd_2_2_5,20,20,20,16,0.0518227042084387,0.0518227088384716,4.6300329611948e-09,0.000603523,0.0062206,-0.005617077,12
srnd_2_2_6,20,20,20,19,0.000123828346541686,0.000123828346542157,4.71167159107888e-16,0.000603523,0.0033678,-0.002764277,5
srnd_2_3_1,20,20,20,2,0.733949004919525,0.733951426233825,2.42131430083781e-06,0.000162769,0.0076218,-0.007459031,40
srnd_2_3_2,20,20,20,5,0.523254952235945,0.523257535260461,2.58302451627834e-06,0.000162769,0.0144288,-0.014266031,59
srnd_2_3_3,20,20,20,9,0.285995038863739,0.285997084843792,2.04598005343337e-06,0.000162769,0.0183267,-0.018163931,56
srnd_2_3_4,20,20,20,12,0.167089832535966,0.167090479646578,6.47110612678192e-07,0.000162769,0.0247319,-0.024569131,61
srnd_2_3_5,20,20,20,16,0.0585135924057645,0.058513727909835,1.35504070512826e-07,0.000162769,0.0117929,-0.011630131,24
srnd_2_3_6,20,20,20,19,0.00291098871266251,0.00291098874205517,2.93926627828456e-11,0.000162769,0.0043477,-0.004184931,7
srnd_3_1_1,40,40,40,2,0.824528053982906,0.824530990241297,2.93625839131728e-06,0.00044241,0.0192987,-0.01885629,56
srnd_3_1_2,40,40,40,9,0.569967483639294,0.571584595213501,0.00161711157420696,0.00044241,0.0775036,-0.07706119,153
srnd_3_1_3,40,40,40,17,0.342981162654294,0.342984921263829,3.75860953538698e-06,0.00044241,0.0657496,-0.06530719,95
srnd_3_1_4,40,40,40,24,0.1976627199565,0.197663997499828,1.27754332793217e-06,0.00044241,0.0560161,-0.05557369,62
srnd_3_1_5,40,40,40,32,0.0711346579467699,0.0711360692818727,1.41133510277169e-06,0.00044241,0.2878163,-0.28737389,222
srnd_3_1_6,40,40,40,39,0.00377907565260583,0.00377907694902421,1.29641838150091e-09,0.00044241,0.0184711,-0.01802869,14
srnd_3_2_1,40,40,40,2,0.830020681209172,0.830023328111746,2.64690257334443e-06,0.000601371,0.0114986,-0.010897229,32
srnd_3_2_2,40,40,40,9,0.585594208871797,0.585601344904165,7.1360323682379e-06,0.000601371,0.0531861,-0.052584729,109
srnd_3_2_3,40,40,40,17,0.368853878429713,0.368854944684031,1.06625431861573e-06,0.000601371,0.0265257,-0.025924329,38
srnd_3_2_4,40,40,40,24,0.210709968888545,0.210717142503979,7.17361543453587e-06,0.000601371,0.154675,-0.154073629,174
srnd_3_2_5,40,40,40,32,0.0675959902050749,0.0675961144926039,1.24287529032485e-07,0.000601371,0.0413618,-0.040760429,37
srnd_3_2_6,40,40,40,39,0.00156363695619996,0.00156363696491587,8.71591557607965e-12,0.000601371,0.0122662,-0.011664829,9
srnd_3_3_1,40,40,40,2,0.820865083162578,0.820867082142784,1.99898020614153e-06,0.002004891,0.0087123,-0.006707409,25
srnd_3_3_2,40,40,40,9,0.565652515527861,0.566418252557608,0.000765737029747249,0.002004891,0.0326519,-0.030647009,67
srnd_3_3_3,40,40,40,17,0.347497787124109,0.347503226352363,5.43922825430032e-06,0.002004891,0.0346864,-0.032681509,50
srnd_3_3_4,40,40,40,24,0.193608999011847,0.193609705464354,7.06452507381883e-07,0.002004891,0.0505397,-0.048534809,50
srnd_3_3_5,40,40,40,32,0.0582059152536376,0.058206320021361,4.04767723470589e-07,0.002004891,0.1796367,-0.177631809,105
srnd_3_3_6,40,40,40,39,0.00372303967533382,0.00372304009524095,4.19907124262625e-10,0.002004891,0.0147515,-0.012746609,10
srnd_4_1_1,80,80,80,2,0.860967331202354,0.860974433054419,7.10185206453939e-06,0.001677509,0.073232,-0.071554491,95
srnd_4_1_2,80,80,80,17,0.600769397747176,0.600783226949645,1.38292024695064e-05,0.001677509,0.1049785,-0.103300991,66
srnd_4_1_3,80,80,80,33,0.379576744776231,0.379583025362185,6.28058595442127e-06,0.001677509,0.2328923,-0.231214791,93
srnd_4_1_4,80,80,80,48,0.206799606903104,0.206801264128155,1.65722505129917e-06,0.001677509,0.2145151,-0.212837591,73
srnd_4_1_5,80,80,80,64,0.0722264263825901,0.0722301570485085,3.73066591843885e-06,0.001677509,0.3645939,-0.362916391,98
srnd_4_1_6,80,80,80,79,0.000203806820482092,0.000203806820488277,6.18548181424705e-15,0.001677509,0.0307995,-0.029121991,7
srnd_4_2_1,80,80,80,2,0.862953267243729,0.862960552353086,7.2851093577686e-06,0.001018751,0.0643983,-0.063379549,100
