InputName,InputM,InputN,InputRk,TargetRk,Opt_delta,Our_delta,Delta_diff,Svd_time,Our_time,Time_gain,Our_Iter
rnd_1_1_1,150,150,150,2,0.979670172477596,0.979888298825419,0.000218126347823033,0.0043032,0.4840232,-0.47972,129
rnd_1_1_2,150,150,150,10,0.898693151969869,0.89882712729922,0.00013397532935111,0.0043032,0.8787364,-0.8744332,198
rnd_1_1_3,150,150,150,20,0.79964021798702,0.799665775274181,2.55572871608045e-05,0.0043032,0.5608872,-0.556584,93
rnd_1_1_4,150,150,150,50,0.505728107695165,0.505736179041095,8.07134593050485e-06,0.0043032,2.1281952,-2.123892,182
rnd_1_1_5,150,150,150,75,0.306644648486722,0.306647900464684,3.25197796174903e-06,0.0043032,1.0238125,-1.0195093,65
rnd_1_2_1,150,150,150,2,0.981529054896389,0.981674310530511,0.000145255634122154,0.0044155,0.4143778,-0.4099623,129
rnd_1_2_2,150,150,150,10,0.906569361597721,0.906607034904848,3.76733071268953e-05,0.0044155,1.0976923,-1.0932768,245
rnd_1_2_3,150,150,150,20,0.817390285390616,0.817408449203275,1.81638126596217e-05,0.0044155,0.9581975,-0.953782,158
rnd_1_2_4,150,150,150,50,0.563475736375593,0.56352500385508,4.92674794870807e-05,0.0044155,2.473443,-2.4690275,214
rnd_1_2_5,150,150,150,75,0.372848507049872,0.372886248687791,3.77416379189199e-05,0.0044155,1.3699267,-1.3655112,83
rnd_1_3_1,150,150,150,2,0.979836511075801,0.979876715373086,4.0204297284685e-05,0.0042503,0.3530348,-0.3487845,144
rnd_1_3_2,150,150,150,10,0.899352067140473,0.899388111356783,3.60442163106489e-05,0.0042503,0.9359865,-0.9317362,219
rnd_1_3_3,150,150,150,20,0.800501687977962,0.800513035604048,1.13476260854561e-05,0.0042503,0.3897903,-0.38554,71
rnd_1_3_4,150,150,150,50,0.542073702546223,0.542109452960237,3.57504140138243e-05,0.0042503,1.9079521,-1.9037018,166
rnd_1_3_5,150,150,150,75,0.341767514374695,0.341822439040749,5.49246660531688e-05,0.0042503,1.99849,-1.9942397,123
rnd_2_1_1,200,200,200,2,0.986168093518249,0.986191332028255,2.32385100055188e-05,0.0082525,0.6518875,-0.643635,163
rnd_2_1_2,200,200,200,10,0.932280967755303,0.932352807093678,7.18393383746241e-05,0.0082525,1.3198634,-1.3116109,221
rnd_2_1_3,200,200,200,20,0.864294964976657,0.86434177023431,4.68052576534372e-05,0.0082525,1.7252976,-1.7170451,190
rnd_2_1_4,200,200,200,50,0.66917215517234,0.669202857070284,3.07018979436302e-05,0.0082525,2.1231997,-2.1149472,122
rnd_2_1_5,200,200,200,75,0.518320422519589,0.518338722816051,1.83002964624368e-05,0.0082525,4.3249187,-4.3166662,180
rnd_2_2_1,200,200,200,2,0.984572344978095,0.984618547827362,4.62028492673738e-05,0.0060843,0.3700417,-0.3639574,97
rnd_2_2_2,200,200,200,10,0.924340033274957,0.924435516627718,9.54833527615495e-05,0.0060843,1.257439,-1.2513547,196
rnd_2_2_3,200,200,200,20,0.85363952942499,0.853679984257208,4.04548322175957e-05,0.0060843,0.6804634,-0.6743791,82
rnd_2_2_4,200,200,200,50,0.662777211933943,0.662794277357993,1.70654240501111e-05,0.0060843,2.1954047,-2.1893204,123
rnd_2_2_5,200,200,200,75,0.509013201196239,0.509051257721719,3.80565254800569e-05,0.0060843,3.0676565,-3.0615722,126
rnd_2_3_1,200,200,200,2,0.983540891501454,0.983568176750434,2.72852489802133e-05,0.0056395,0.5159871,-0.5103476,101
rnd_2_3_2,200,200,200,10,0.918547905728636,0.918571495992279,2.35902636429586e-05,0.0056395,0.8507,-0.8450605,141
rnd_2_3_3,200,200,200,20,0.841001589056716,0.841019753239978,1.81641832618373e-05,0.0056395,1.1820614,-1.1764219,141
rnd_2_3_4,200,200,200,50,0.641122067792884,0.641175890601471,5.38228085870118e-05,0.0056395,2.2055466,-2.1999071,127
rnd_2_3_5,200,200,200,75,0.486486154919899,0.486591600243446,0.00010544532354656,0.0056395,3.6899686,-3.6843291,150
rnd_3_1_1,250,250,250,2,0.989535118383218,0.989561704301245,2.65859180271777e-05,0.0104767,0.4864676,-0.4759909,102
rnd_3_1_2,250,250,250,10,0.948382439263816,0.948434106241026,5.16669772101519e-05,0.0104767,0.9566691,-0.9461924,132
rnd_3_1_3,250,250,250,20,0.897750773252384,0.897836018652986,8.5245400601508e-05,0.0104767,1.2426705,-1.2321938,113
rnd_3_1_4,250,250,250,50,0.751202527084165,0.751261574977701,5.90478935360572e-05,0.0104767,3.6488935,-3.6384168,161
rnd_3_1_5,250,250,250,75,0.631583948827851,0.631641518814065,5.75699862135348e-05,0.0104767,5.0558024,-5.0453257,147
rnd_3_2_1,250,250,250,2,0.987893664216634,0.987963166900028,6.95026833941181e-05,0.0126527,0.5903159,-0.5776632,105
rnd_3_2_2,250,250,250,10,0.939575781842555,0.939631391879352,5.56100367964385e-05,0.0126527,1.3565598,-1.3439071,161
rnd_3_2_3,250,250,250,20,0.882261702102252,0.882330830799793,6.91286975408323e-05,0.0126527,1.7937644,-1.7811117,157
rnd_3_2_4,250,250,250,50,0.709556224217556,0.709578462846742,2.22386291854892e-05,0.0126527,2.7667348,-2.7540821,121
rnd_3_2_5,250,250,250,75,0.575239860147712,0.575316037055829,7.61769081172314e-05,0.0126527,7.02295,-7.0102973,204
rnd_3_3_1,250,250,250,2,0.986889223294281,0.987045531794098,0.000156308499817071,0.0104765,0.4709035,-0.460427,101
rnd_3_3_2,250,250,250,10,0.934606268826463,0.934635307390055,2.9038563591488e-05,0.0104765,1.050022,-1.0395455,141
rnd_3_3_3,250,250,250,20,0.872103290569981,0.872130634786955,2.73442169733684e-05,0.0104765,2.6819239,-2.6714474,245
rnd_3_3_4,250,250,250,50,0.693773552326418,0.693837018318486,6.34659920679681e-05,0.0104765,2.9103564,-2.8998799,124
rnd_3_3_5,250,250,250,75,0.554956797017749,0.554987394046111,3.0597028361834e-05,0.0104765,4.4870563,-4.4765798,133
rnd_4_1_1,300,300,300,2,0.989469533364542,0.98949832339297,2.87900284281495e-05,0.0120489,0.8191894,-0.8071405,93
rnd_4_1_2,300,300,300,10,0.948724966648569,0.948790819352431,6.58527038628343e-05,0.0120489,1.7766477,-1.7645988,139
rnd_4_1_3,300,300,300,20,0.898394647038749,0.898441966128834,4.73190900848186e-05,0.0120489,2.591208,-2.5791591,144
rnd_4_1_4,300,300,300,50,0.753732101700038,0.753766405973859,3.43042738212285e-05,0.0120489,4.3020844,-4.2900355,140
rnd_4_1_5,300,300,300,75,0.640830406127525,0.640849703687504,1.92975599793144e-05,0.0120489,5.4038692,-5.3918203,123
rnd_4_2_1,300,300,300,2,0.990061073171675,0.990102912204004,4.18390323289053e-05,0.0137316,1.1412009,-1.1274693,117
rnd_4_2_2,300,300,300,10,0.950405511685308,0.950456440234763,5.0928549454321e-05,0.0137316,2.3049597,-2.2912281,175
rnd_4_2_3,300,300,300,20,0.901091321211025,0.90115631589513,6.49946841051463e-05,0.0137316,2.5572613,-2.5435297,142
rnd_4_2_4,300,300,300,50,0.759055692170052,0.759083957587991,2.82654179389885e-05,0.0137316,3.0984177,-3.0846861,106
rnd_4_2_5,300,300,300,75,0.644819598274148,0.644853647981377,3.4049707228645e-05,0.0137316,4.6435998,-4.6298682,103
rnd_4_3_1,300,300,300,2,0.989911055148629,0.989985948545705,7.48933970758925e-05,0.013474,0.8920287,-0.8785547,110
rnd_4_3_2,300,300,300,10,0.951102936208519,0.951151388785621,4.84525771025091e-05,0.013474,1.5239074,-1.5104334,119
rnd_4_3_3,300,300,300,20,0.903755594960092,0.90382336003894,6.7765078847537e-05,0.013474,2.7649606,-2.7514866,169
rnd_4_3_4,300,300,300,50,0.767924900219828,0.767982944724144,5.80445043156796e-05,0.013474,5.956983,-5.943509,193
rnd_4_3_5,300,300,300,75,0.661839031918983,0.661884581572981,4.55496539986111e-05,0.013474,6.5355124,-6.5220384,148
rnd_5_1_1,350,350,350,2,0.991767875023164,0.991812222124212,4.43471010472818e-05,0.0227368,0.8122309,-0.7894941,72
rnd_5_1_2,350,350,350,10,0.95897718802011,0.959082257090041,0.00010506906993113,0.0227368,1.9100067,-1.8872699,125
rnd_5_1_3,350,350,350,20,0.918056180258961,0.918072614387651,1.64341286899017e-05,0.0227368,2.6727333,-2.6499965,121
rnd_5_1_4,350,350,350,50,0.799948765330557,0.799993514091835,4.47487612778019e-05,0.0227368,5.2030013,-5.1802645,131
rnd_5_1_5,350,350,350,75,0.705756973375748,0.70578369613075,2.67227550017068e-05,0.0227368,6.9395799,-6.9168431,120
rnd_5_2_1,350,350,350,2,0.991411561483379,0.991514239696152,0.000102678212773322,0.021293,0.9253198,-0.9040268,74
rnd_5_2_2,350,350,350,10,0.95722506801067,0.95732950839818,0.00010444038751023,0.021293,2.0164513,-1.9951583,137
rnd_5_2_3,350,350,350,20,0.914978383543297,0.915044057111968,6.5673568671043e-05,0.021293,2.9223091,-2.9010161,137
rnd_5_2_4,350,350,350,50,0.789836042205508,0.789869276502396,3.32342968885069e-05,0.021293,5.2346211,-5.2133281,133
rnd_5_2_5,350,350,350,75,0.687954078453174,0.687972159914116,1.80814609421764e-05,0.021293,5.5954286,-5.5741356,99
rnd_5_3_1,350,350,350,2,0.99189092209949,0.991935963853564,4.5041754074493e-05,0.020388,1.4236707,-1.4032827,112
rnd_5_3_2,350,350,350,10,0.96001456394482,0.960093978834616,7.94148897956815e-05,0.020388,1.8794211,-1.8590331,127
