InputName,InputM,InputN,InputRk,TargetRk,Opt_delta,Our_delta,Delta_diff,Svd_time,Our_time,Time_gain,Our_Iter
rnd_1_1_1,50,50,50,2,0.936161489780783,0.936226252737944,6.47629571611796e-05,0.0009637,0.1581932,-0.1572295,86
rnd_1_1_2,50,50,50,25,0.34622602086543,0.34624650084814,2.04799827103752e-05,0.0009637,0.4102895,-0.4093258,264
rnd_1_1_3,50,50,50,49,0.00445986275570307,0.00445988694817083,2.41924677573876e-08,0.0009637,0.0986368,-0.0976731,46
rnd_1_2_1,50,50,50,2,0.95253572007732,0.952617042037619,8.13219602991966e-05,0.0005715,0.0665874,-0.0660159,129
rnd_1_2_2,50,50,50,25,0.425625621229307,0.425644062804341,1.84415750342226e-05,0.0005715,0.0882549,-0.0876834,65
rnd_1_2_3,50,50,50,49,0.0106577905462772,0.0106577941762686,3.62999137172582e-09,0.0005715,0.0512685,-0.050697,22
rnd_1_3_1,50,50,50,2,0.94418114903666,0.944199714232179,1.85651955187938e-05,0.0005589,0.0746183,-0.0740594,153
rnd_1_3_2,50,50,50,25,0.405411211183801,0.405482635168262,7.14239844611386e-05,0.0005589,0.1287721,-0.1282132,89
rnd_1_3_3,50,50,50,49,0.0042925404910224,0.00429254090306849,4.12046093425933e-10,0.0005589,0.0280915,-0.0275326,11
rnd_2_1_1,100,100,100,2,0.968054865612366,0.968114464036974,5.95984246078984e-05,0.0017929,0.1037097,-0.1019168,72
rnd_2_1_2,100,100,100,50,0.32923736180867,0.329248913785675,1.15519770049199e-05,0.0017929,0.5606668,-0.5588739,105
rnd_2_1_3,100,100,100,99,0.000785495924915792,0.000785496071317084,1.46401292239369e-10,0.0017929,0.123217,-0.1214241,12
rnd_2_2_1,100,100,100,2,0.971661842641107,0.971697083530172,3.52408890652578e-05,0.0020877,0.3136707,-0.311583,178
rnd_2_2_2,100,100,100,50,0.328115499168616,0.3281227294643,7.230295683891e-06,0.0020877,0.2801625,-0.2780748,65
rnd_2_2_3,100,100,100,99,0.000627566820277652,0.000627566820593378,3.1572552731951e-13,0.0020877,0.0573791,-0.0552914,7
rnd_2_3_1,100,100,100,2,0.964924743615122,0.965082300847719,0.000157557232597028,0.0013021,0.1189643,-0.1176622,84
rnd_2_3_2,100,100,100,50,0.280750795314726,0.280758839748258,8.04443353202844e-06,0.0013021,0.4165294,-0.4152273,89
rnd_2_3_3,100,100,100,99,8.78462212071264e-06,8.7846221207186e-06,5.96311194867027e-18,0.0013021,0.0394348,-0.0381327,5
rnd_3_1_1,150,150,150,2,0.976954789322853,0.976977218327777,2.24290049238851e-05,0.0030138,0.2733253,-0.2703115,85
rnd_3_1_2,150,150,150,75,0.351529297998788,0.351531553984957,2.25598616832023e-06,0.0030138,1.1764386,-1.1734248,67
rnd_3_1_3,150,150,150,149,0.000353212790706888,0.000353212937019437,1.46312549207349e-10,0.0030138,0.5083544,-0.5053406,21
rnd_3_2_1,150,150,150,2,0.980195394503295,0.980239156475632,4.37619723361315e-05,0.0027474,0.4213159,-0.4185685,123
rnd_3_2_2,150,150,150,75,0.349389290744378,0.349396395967529,7.10522315061635e-06,0.0027474,1.8286698,-1.8259224,111
rnd_3_2_3,150,150,150,149,0.000260122494308114,0.000260122504670323,1.03622087039429e-11,0.0027474,0.2711143,-0.2683669,11
rnd_3_3_1,150,150,150,2,0.979817732878014,0.979847009298953,2.92764209386398e-05,0.0027682,0.3341473,-0.3313791,109
rnd_3_3_2,150,150,150,75,0.355424346877664,0.355428710813519,4.36393585429018e-06,0.0027682,1.6176725,-1.6149043,101
rnd_3_3_3,150,150,150,149,7.71052958069113e-05,7.71052958096139e-05,2.70260430788177e-15,0.0027682,0.1707067,-0.1679385,7
rnd_4_1_1,200,200,200,2,0.986347214089645,0.986408421825365,6.12077357204921e-05,0.0067365,0.5499311,-0.5431946,145
rnd_4_1_2,200,200,200,100,0.356607219521835,0.356617686738716,1.04672168806386e-05,0.0067365,4.3058652,-4.2991287,140
rnd_4_1_3,200,200,200,199,0.000137635658628689,0.000137635658642425,1.3735947058599e-14,0.0067365,0.2929579,-0.2862214,6
rnd_4_2_1,200,200,200,2,0.986430626276429,0.986489812426208,5.91861497789559e-05,0.0056419,0.5588764,-0.5532345,107
rnd_4_2_2,200,200,200,100,0.357512653647743,0.357519111017251,6.45736950755094e-06,0.0056419,4.8055358,-4.7998939,153
rnd_4_2_3,200,200,200,199,0.000915989913841014,0.000916000064488359,1.01506473445829e-08,0.0056419,2.448213,-2.4425711,50
rnd_4_3_1,200,200,200,2,0.985656387731535,0.985695246427967,3.88586964322757e-05,0.0055439,0.4594263,-0.4538824,94
rnd_4_3_2,200,200,200,100,0.369102717321546,0.369119602079606,1.68847580604425e-05,0.0055439,3.6758302,-3.6702863,123
rnd_4_3_3,200,200,200,199,0.00074675504452972,0.000746755119229897,7.47001769252006e-11,0.0055439,0.4697039,-0.46416,10
rnd_5_1_1,250,250,250,2,0.98793930381719,0.987994129797164,5.48259799738604e-05,0.008847,0.4222121,-0.4133651,87
rnd_5_1_2,250,250,250,125,0.317597129193505,0.317609809786968,1.26805934627661e-05,0.008847,9.0120602,-9.0032132,169
rnd_5_1_3,250,250,250,249,0.000505100478368512,0.000505100547353411,6.89848990648514e-11,0.008847,0.9425703,-0.9337233,11
rnd_5_2_1,250,250,250,2,0.987579312464474,0.987700205051469,0.00012089258699588,0.0098856,0.4288488,-0.4189632,81
rnd_5_2_2,250,250,250,125,0.364809043822508,0.364822451578479,1.34077559710288e-05,0.0098856,9.0713085,-9.0614229,171
rnd_5_2_3,250,250,250,249,1.48092060420656e-06,1.4809206042078e-06,1.23243293825501e-18,0.0098856,0.4500221,-0.4401365,5
rnd_5_3_1,250,250,250,2,0.987180267693856,0.987253315060731,7.30473668751896e-05,0.0084288,0.5443852,-0.5359564,109
rnd_5_3_2,250,250,250,125,0.345420360349986,0.34542933776047,8.97741048411227e-06,0.0084288,6.56456,-6.5561312,122
rnd_5_3_3,250,250,250,249,0.00050037341074284,0.000500375077720784,1.6669779443531e-09,0.0084288,4.4059377,-4.3975089,53
rnd_6_1_1,300,300,300,2,0.989610603624576,0.989718380150191,0.000107776525615444,0.0128937,1.0009272,-0.9880335,109
rnd_6_1_2,300,300,300,150,0.3079737119552,0.307979643044801,5.9310896007303e-06,0.0128937,7.4725641,-7.4596704,91
rnd_6_1_3,300,300,300,299,0.000173085969451953,0.000173085971877757,2.42580348169819e-12,0.0128937,1.3262463,-1.3133526,9
rnd_6_2_1,300,300,300,2,0.989703978540161,0.989733947519979,2.99689798175518e-05,0.0190824,1.2647966,-1.2457142,141
rnd_6_2_2,300,300,300,150,0.365303964500523,0.365311098702055,7.13420153192201e-06,0.0190824,13.3479968,-13.3289144,160
rnd_6_2_3,300,300,300,299,0.000378168579334677,0.000378168605166858,2.58321810123197e-11,0.0190824,2.0801818,-2.0610994,15
rnd_6_3_1,300,300,300,2,0.990800789111359,0.990847348912875,4.65598015156887e-05,0.0120413,0.8578702,-0.8458289,92
rnd_6_3_2,300,300,300,150,0.391624989897558,0.391636116650544,1.11267529859238e-05,0.0120413,12.3323128,-12.3202715,148
rnd_6_3_3,300,300,300,299,0.000858716465451471,0.000858716550447876,8.49964049880539e-11,0.0120413,2.1292926,-2.1172513,15
rnd_7_1_1,350,350,350,2,0.991383626165661,0.991509632370301,0.000126006204640094,0.01622,1.5992172,-1.5829972,141
rnd_7_1_2,350,350,350,175,0.336054013288804,0.336058817310666,4.80402186220363e-06,0.01622,11.779335,-11.763115,95
rnd_7_1_3,350,350,350,349,0.00046679720552268,0.000466800025193265,2.81967058512675e-09,0.01622,13.9324236,-13.9162036,69
rnd_7_2_1,350,350,350,2,0.991991955471131,0.992058373217699,6.64177465680149e-05,0.0234275,1.0524086,-1.0289811,86
rnd_7_2_2,350,350,350,175,0.344466366371773,0.344486383433485,2.00170617116746e-05,0.0234275,21.327198,-21.3037705,176
rnd_7_2_3,350,350,350,349,0.000304120227096127,0.000304120420880204,1.93784077163767e-10,0.0234275,4.88573,-4.8623025,24
rnd_7_3_1,350,350,350,2,0.991628336827197,0.9916911018175,6.27649903029992e-05,0.0176849,0.8203493,-0.8026644,77
rnd_7_3_2,350,350,350,175,0.360939950960169,0.360959793863281,1.98429031127989e-05,0.0176849,24.1909951,-24.1733102,197
rnd_7_3_3,350,350,350,349,1.62288567958299e-05,1.62288567987158e-05,2.8859327308537e-15,0.0176849,1.3381374,-1.3204525,6
rnd_8_1_1,400,400,400,2,0.992884409436742,0.992960011747629,7.56023108873238e-05,0.0274824,1.8524765,-1.8249941,101
rnd_8_1_2,400,400,400,200,0.339395267208886,0.339414565515293,1.92983064072894e-05,0.0274824,44.4305888,-44.4031064,176
rnd_8_1_3,400,400,400,399,0.000453149733217515,0.000453149859761852,1.26544336912383e-10,0.0274824,6.0085932,-5.9811108,14
rnd_8_2_1,400,400,400,2,0.992157924079557,0.99222492150918,6.69974296224618e-05,0.0231833,1.8059917,-1.7828084,105
rnd_8_2_2,400,400,400,200,0.331219540160406,0.331238230444425,1.86902840180747e-05,0.0231833,38.2029641,-38.1797808,151
rnd_8_2_3,400,400,400,399,7.52264565189913e-05,7.52270972544652e-05,6.40735473833305e-10,0.0231833,51.6231546,-51.5999713,119
rnd_8_3_1,400,400,400,2,0.993497040034148,0.993542205697689,4.51656635408471e-05,0.0234721,0.9234515,-0.8999794,53
rnd_8_3_2,400,400,400,200,0.386411898230444,0.386437610327115,2.57120966704605e-05,0.0234721,27.9548616,-27.9313895,111
rnd_8_3_3,400,400,400,399,0.00133139806774784,0.00133139917907921,1.11133136612533e-09,0.0234721,13.4702935,-13.4468214,31
