InputName,InputM,InputN,InputRk,TargetRk,Opt_delta,Our_delta,Delta_diff,Svd_time,Our_time,Time_gain,Our_Iter
rnd_1_1_1,50,50,50,2,0.945356441743556,0.945382865954036,2.6424210479159e-05,0.0013166,0.6795384,-0.6782218,94
rnd_1_1_2,50,50,50,25,0.369564236340742,0.369576723993668,1.24876529252194e-05,0.0013166,2.1200222,-2.1187056,90
rnd_1_1_3,50,50,50,49,0.0201339188000493,0.0201339426775915,2.38775422073401e-08,0.0013166,0.7561137,-0.7547971,27
rnd_1_2_1,50,50,50,2,0.936674280338967,0.936687481024501,1.32006855345645e-05,0.0006266,0.8221902,-0.8215636,108
rnd_1_2_2,50,50,50,25,0.358346472305697,0.358348944130988,2.471825290562e-06,0.0006266,1.1534001,-1.1527735,78
rnd_1_2_3,50,50,50,49,0.00242251601247406,0.00242252433092007,8.31844601837869e-09,0.0006266,1.1160504,-1.1154238,50
rnd_1_3_1,50,50,50,2,0.947373325032215,0.947414170749337,4.08457171213739e-05,0.0007741,0.7983321,-0.797558,202
rnd_1_3_2,50,50,50,25,0.382941993423408,0.38294588581057,3.89238716264062e-06,0.0007741,1.6787547,-1.6779806,93
rnd_1_3_3,50,50,50,49,0.00156330120058798,0.00156330120184457,1.2565833790168e-12,0.0007741,0.2192731,-0.218499,7
rnd_2_1_1,100,100,100,2,0.969573856443272,0.969598254964661,2.43985213892461e-05,0.0025681,2.3360766,-2.3335085,109
rnd_2_1_2,100,100,100,50,0.356773841121586,0.356781838258011,7.99713642490874e-06,0.0025681,8.544426,-8.5418579,116
rnd_2_1_3,100,100,100,99,0.000737244286913307,0.000737244291167229,4.2539220843768e-12,0.0025681,0.7639871,-0.761419,9
rnd_2_2_1,100,100,100,2,0.968469332432752,0.968487679591309,1.8347158557086e-05,0.0014086,1.7609983,-1.7595897,68
rnd_2_2_2,100,100,100,50,0.325198363315856,0.325199934550239,1.57123438287998e-06,0.0014086,3.5605696,-3.559161,57
rnd_2_2_3,100,100,100,99,0.000481860338685778,0.000481860338722481,3.67034419350432e-14,0.0014086,0.6241772,-0.6227686,7
rnd_2_3_1,100,100,100,2,0.972556847287199,0.972578306135639,2.14588484402922e-05,0.0013168,2.0381797,-2.0368629,129
rnd_2_3_2,100,100,100,50,0.391750037741227,0.391757579381569,7.54164034216798e-06,0.0013168,8.4275202,-8.4262034,111
rnd_2_3_3,100,100,100,99,0.000815519907476851,0.000815519908074191,5.97339669047847e-13,0.0013168,0.7506289,-0.7493121,7
rnd_3_1_1,150,150,150,2,0.980483998839993,0.980505135166235,2.11363262414554e-05,0.0026726,3.3572913,-3.3546187,66
rnd_3_1_2,150,150,150,75,0.35057292766116,0.350578805675863,5.87801470242066e-06,0.0026726,15.7406087,-15.7379361,67
rnd_3_1_3,150,150,150,149,0.000406268848997797,0.000406268958036748,1.09038951533278e-10,0.0026726,3.6306764,-3.6280038,14
rnd_3_2_1,150,150,150,2,0.981224715482501,0.981239807246307,1.50917638062076e-05,0.003172,3.7814505,-3.7782785,87
rnd_3_2_2,150,150,150,75,0.37486031797713,0.374872310379888,1.19924027581764e-05,0.003172,18.3876855,-18.3845135,138
rnd_3_2_3,150,150,150,149,0.000528261906232034,0.000528261907554802,1.32276817537552e-12,0.003172,1.9807839,-1.9776119,8
rnd_3_3_1,150,150,150,2,0.980696353913102,0.980717382390658,2.10284775569169e-05,0.0039711,4.0934189,-4.0894478,136
rnd_3_3_2,150,150,150,75,0.382428493675791,0.382436756453189,8.26277739796044e-06,0.0039711,25.3831111,-25.37914,117
rnd_3_3_3,150,150,150,149,0.000685173493424571,0.000685173496012207,2.58763550951141e-12,0.0039711,1.8190871,-1.815116,8
