InputName,InputM,InputN,InputRk,TargetRk,Opt_delta,Our_delta,Delta_diff,Svd_time,Our_time,Time_gain,Our_Iter
rnd_10_1_1,80,80,80,2,0.962293797609509,0.96249818814135,0.00020439053184107,0.0009088,0.0736097,-0.0727009,89
rnd_10_1_10,80,80,80,79,0.00604406488652766,0.00604416408391666,9.91973890017775e-08,0.0009088,0.6469434,-0.6460346,141
rnd_10_1_2,80,80,80,11,0.797417787919036,0.797486570413602,6.87824945662108e-05,0.0009088,0.188441,-0.1875322,160
rnd_10_1_3,80,80,80,19,0.659516457710364,0.659626035073763,0.000109577363398561,0.0009088,0.2541627,-0.2532539,139
rnd_10_1_4,80,80,80,28,0.503170245846471,0.50317444873992,4.20289344893465e-06,0.0009088,0.1487692,-0.1478604,72
rnd_10_1_5,80,80,80,36,0.383174693581287,0.383177464157079,2.7705757927321e-06,0.0009088,0.1630951,-0.1621863,69
rnd_10_1_6,80,80,80,45,0.27283229052203,0.272843207778684,1.0917256654086e-05,0.0009088,0.4784051,-0.4774963,164
rnd_10_1_7,80,80,80,53,0.189208451788313,0.189210374931808,1.92314349498068e-06,0.0009088,0.2199272,-0.2190184,69
rnd_10_1_8,80,80,80,62,0.111732494760469,0.111734175166488,1.68040601926378e-06,0.0009088,0.7008789,-0.6999701,178
rnd_10_1_9,80,80,80,70,0.0622811655062784,0.0622832927054794,2.12719920097276e-06,0.0009088,0.8873935,-0.8864847,216
rnd_10_2_1,80,80,80,2,0.964526158048149,0.96457867349518,5.25154470315536e-05,0.0013726,0.1134036,-0.112031,165
rnd_10_2_10,80,80,80,79,0.00243324041210548,0.0024332515528528,1.1140747319463e-08,0.0013726,0.2415804,-0.2402078,56
rnd_10_2_2,80,80,80,11,0.805143915059007,0.805170268667187,2.63536081800408e-05,0.0013726,0.2715103,-0.2701377,242
rnd_10_2_3,80,80,80,19,0.670249698190174,0.67026782020846,1.81220182859931e-05,0.0013726,0.1252125,-0.1238399,80
rnd_10_2_4,80,80,80,28,0.526836280719273,0.526855167194024,1.888647475079e-05,0.0013726,0.1305387,-0.1291661,67
rnd_10_2_5,80,80,80,36,0.430437609663192,0.430443698130277,6.08846708483046e-06,0.0013726,0.2457116,-0.244339,96
rnd_10_2_6,80,80,80,45,0.327764706774734,0.327781715549734,1.70087750000492e-05,0.0013726,0.870598,-0.8692254,285
rnd_10_2_7,80,80,80,53,0.236238668285869,0.236241257910898,2.58962502872051e-06,0.0013726,0.3093104,-0.3079378,92
rnd_10_2_8,80,80,80,62,0.125891068158936,0.125986361287945,9.52931290089387e-05,0.0013726,0.7137199,-0.7123473,186
rnd_10_2_9,80,80,80,70,0.0451514235687578,0.0451515290710771,1.05502319262818e-07,0.0013726,0.1552199,-0.1538473,37
rnd_10_3_1,80,80,80,2,0.96480658137289,0.964832317762506,2.57363896161156e-05,0.0011495,0.0873692,-0.0862197,130
rnd_10_3_10,80,80,80,79,0.000306441159844317,0.000306441211738276,5.18939584229564e-11,0.0011495,0.0489997,-0.0478502,11
rnd_10_3_2,80,80,80,11,0.809744315282027,0.809761221922737,1.69066407101903e-05,0.0011495,0.1540981,-0.1529486,137
rnd_10_3_3,80,80,80,19,0.677907675599634,0.677926437078183,1.87614785488455e-05,0.0011495,0.2590184,-0.2578689,140
rnd_10_3_4,80,80,80,28,0.538864849026491,0.538897686782082,3.28377555919301e-05,0.0011495,0.2061434,-0.2049939,100
rnd_10_3_5,80,80,80,36,0.421619561286454,0.421629824266118,1.02629796643883e-05,0.0011495,0.1736741,-0.1725246,68
