InputName,InputM,InputN,InputRk,TargetRk,Opt_delta,Our_delta,Delta_diff,Svd_time,Our_time,Time_gain,Our_Iter
srnd_1_1_1,10,10,10,2,0.595335962809352,0.595336813593555,8.50784202310884e-07,0.000241295,0.0043784,-0.004137105,23
srnd_1_1_2,10,10,10,3,0.482390633554973,0.482392687946214,2.05439124073559e-06,0.000241295,0.0083322,-0.008090905,57
srnd_1_1_3,10,10,10,5,0.264044541586458,0.264044638036485,9.64500267430779e-08,0.000241295,0.0033478,-0.003106505,16
srnd_1_1_4,10,10,10,6,0.187061184811174,0.187061374926466,1.90115292619808e-07,0.000241295,0.0062849,-0.006043605,28
srnd_1_1_5,10,10,10,8,0.0626772487376597,0.0626772602581975,1.15205377737571e-08,0.000241295,0.0047227,-0.004481405,15
srnd_1_1_6,10,10,10,9,0.0180153395701633,0.0180153397747006,2.04537376619074e-10,0.000241295,0.0024389,-0.002197605,8
srnd_1_2_1,10,10,10,2,0.587195002192743,0.587195321482041,3.19289297778802e-07,0.00015473,0.0024418,-0.00228707,17
srnd_1_2_2,10,10,10,3,0.497193252240707,0.497195516825385,2.26458467744717e-06,0.00015473,0.0085401,-0.00838537,61
srnd_1_2_3,10,10,10,5,0.32301927484149,0.323020287963103,1.01312161282507e-06,0.00015473,0.0045251,-0.00437037,24
srnd_1_2_4,10,10,10,6,0.239029046587149,0.239029742611758,6.96024609198043e-07,0.00015473,0.0074511,-0.00729637,39
srnd_1_2_5,10,10,10,8,0.0315624298579238,0.0315624299761999,1.18276069493994e-10,0.00015473,0.002201,-0.00204627,8
srnd_1_2_6,10,10,10,9,0.0133158192216143,0.0133158203365154,1.11490113148538e-09,0.00015473,0.0025478,-0.00239307,9
srnd_1_3_1,10,10,10,2,0.572137742743185,0.572140377372157,2.63462897209799e-06,8.7983e-05,0.0067655,-0.006677517,58
srnd_1_3_2,10,10,10,3,0.461857702652256,0.461858714192692,1.01154043680163e-06,8.7983e-05,0.004738,-0.004650017,33
srnd_1_3_3,10,10,10,5,0.27396428150548,0.273964572310412,2.90804931912803e-07,8.7983e-05,0.0051705,-0.005082517,27
srnd_1_3_4,10,10,10,6,0.210522630886336,0.210523321016809,6.90130473213202e-07,8.7983e-05,0.0092281,-0.009140117,46
srnd_1_3_5,10,10,10,8,0.0939045805562082,0.0939048393638456,2.58807637404379e-07,8.7983e-05,0.0064828,-0.006394817,27
srnd_1_3_6,10,10,10,9,0.0212994396895293,0.0212994399115267,2.21997399629803e-10,8.7983e-05,0.0023736,-0.002285617,8
srnd_2_1_1,20,20,20,2,0.696792440849275,0.69679474178675,2.30093747566329e-06,0.000258366,0.0077965,-0.007538134,44
srnd_2_1_2,20,20,20,5,0.511423405984749,0.511425603817187,2.19783243793348e-06,0.000258366,0.0128734,-0.012615034,51
srnd_2_1_3,20,20,20,9,0.315418545244096,0.315419111705058,5.66460961803905e-07,0.000258366,0.0096341,-0.009375734,29
srnd_2_1_4,20,20,20,12,0.188933046822317,0.188933248672189,2.01849872039084e-07,0.000258366,0.0098579,-0.009599534,24
srnd_2_1_5,20,20,20,16,0.0606278214641322,0.0606278801171696,5.86530374407923e-08,0.000258366,0.0069149,-0.006656534,15
srnd_2_1_6,20,20,20,19,0.00128454208503742,0.00128454208569645,6.59039663120087e-13,0.000258366,0.0035835,-0.003325134,6
srnd_2_2_1,20,20,20,2,0.675438539338766,0.675439934421339,1.39508257313015e-06,0.000553942,0.0074358,-0.006881858,40
srnd_2_2_2,20,20,20,5,0.495611570507887,0.495613156261203,1.58575331676847e-06,0.000553942,0.0120693,-0.011515358,49
srnd_2_2_3,20,20,20,9,0.294602441594957,0.294602705616986,2.64022029128341e-07,0.000553942,0.0090623,-0.008508358,27
srnd_2_2_4,20,20,20,12,0.174847273692179,0.174847671999509,3.98307330673475e-07,0.000553942,0.0149823,-0.014428358,38
srnd_2_2_5,20,20,20,16,0.0555464968769694,0.0555465251298333,2.82528639095059e-08,0.000553942,0.0103871,-0.009833158,21
srnd_2_2_6,20,20,20,19,0.00613943092211628,0.00613943104210668,1.19990408234405e-10,0.000553942,0.0058092,-0.005255258,9
